time,value
2024-04-02T07:44:00.830,0.5966
2024-04-02T07:53:22.638,0.5963
2024-04-02T08:00:27.103,0.5954
2024-04-02T08:06:32.819,0.5955
2024-04-02T08:16:32.873,0.5948
2024-04-02T08:20:33.124,0.5926
2024-04-02T08:25:07.175,0.5923
2024-04-02T08:34:20.732,0.5945
2024-04-02T08:41:30.145,0.5916
2024-04-02T08:46:43.192,0.5924
2024-04-02T08:50:30.512,0.5896
2024-04-02T08:51:27.322,0.5873
2024-04-02T08:52:41.829,0.5859
2024-04-02T08:53:40.101,0.586
2024-04-02T08:56:15.085,0.5855
2024-04-02T08:57:10.181,0.585
2024-04-02T08:58:28.802,0.5845
2024-04-02T09:00:46.095,0.5866
2024-04-02T09:03:15.497,0.5835
2024-04-02T09:03:31.445,0.5822
2024-04-02T09:03:40.830,0.5809
2024-04-02T09:04:02.963,0.582
2024-04-02T09:04:23.442,0.5809
2024-04-02T09:05:16.231,0.5812
2024-04-02T09:06:09.398,0.5847
2024-04-02T09:07:23.577,0.5803
2024-04-02T09:09:08.889,0.5816
2024-04-02T09:11:13.637,0.5823
2024-04-02T09:14:29.106,0.584
2024-04-02T09:16:09.372,0.5866
2024-04-02T09:18:22.424,0.5883
2024-04-02T09:21:07.230,0.5895
2024-04-02T09:25:34.724,0.5888
2024-04-02T09:29:51.610,0.5881
2024-04-02T09:35:02.077,0.5876
2024-04-02T09:40:11.760,0.5873
2024-04-02T09:46:33.403,0.5884
2024-04-02T09:53:08.937,0.5888
2024-04-02T09:58:06.717,0.5876
2024-04-02T10:01:49.228,0.5862
2024-04-02T10:03:51.329,0.584
2024-04-02T10:06:28.483,0.5839
2024-04-02T10:10:11.668,0.585
2024-04-02T10:13:24.660,0.5826
2024-04-02T10:17:13.783,0.5846
2024-04-02T10:20:05.667,0.585
2024-04-02T10:23:55.321,0.5862
2024-04-02T10:30:28.498,0.5871
2024-04-02T10:35:30.549,0.5852
2024-04-02T10:39:35.398,0.583
2024-04-02T10:44:45.521,0.5813
2024-04-02T10:47:15.275,0.581
2024-04-02T10:48:52.711,0.58
2024-04-02T10:48:58.090,0.5797
2024-04-02T10:49:44.078,0.5823
2024-04-02T10:52:54.215,0.583
2024-04-02T10:58:21.798,0.5842
2024-04-02T11:02:02.174,0.5846
2024-04-02T11:07:23.851,0.5816
2024-04-02T11:09:01.986,0.5793
2024-04-02T11:12:23.485,0.5795
2024-04-02T11:17:14.478,0.581
2024-04-02T11:20:11.665,0.5784
2024-04-02T11:20:41.182,0.5764
2024-04-02T11:21:16.942,0.5769
2024-04-02T11:23:31.087,0.5765
2024-04-02T11:24:15.490,0.5772
2024-04-02T11:26:14.404,0.5776
2024-04-02T11:28:25.674,0.5754
2024-04-02T11:28:39.364,0.5743
2024-04-02T11:28:39.847,0.5729
2024-04-02T11:29:10.597,0.5754
2024-04-02T11:31:03.247,0.5753
2024-04-02T11:32:40.462,0.5789
2024-04-02T11:35:35.668,0.5789
2024-04-02T11:39:35.075,0.5777
2024-04-02T11:42:34.154,0.5782
2024-04-02T11:45:53.278,0.581
2024-04-02T11:47:57.675,0.5812
2024-04-02T11:53:52.092,0.582
2024-04-02T11:58:15.815,0.583
2024-04-02T11:59:36.692,0.5848
2024-04-02T12:02:43.212,0.5853
2024-04-02T12:06:05.917,0.5839
2024-04-02T12:09:34.638,0.5866
2024-04-02T12:13:36.654,0.5853
2024-04-02T12:15:57.069,0.5855
2024-04-02T12:22:52.737,0.587
2024-04-02T12:28:12.977,0.5873
2024-04-02T12:33:03.497,0.586
2024-04-02T12:41:33.614,0.5868
2024-04-02T12:46:06.307,0.5844
2024-04-02T12:50:33.482,0.5825
2024-04-02T12:58:22.411,0.583
2024-04-02T13:04:40.208,0.5803
2024-04-02T13:07:29.542,0.5803
2024-04-02T13:14:12.531,0.5818
2024-04-02T13:19:17.112,0.5794
2024-04-02T13:23:57.216,0.5785
2024-04-02T13:25:06.982,0.577
2024-04-02T13:26:47.651,0.5757
2024-04-02T13:30:17.525,0.5754
2024-04-02T13:33:11.261,0.5752
2024-04-02T13:36:55.837,0.5784
2024-04-02T13:40:23.161,0.578
2024-04-02T13:44:31.694,0.5787
2024-04-02T13:48:36.820,0.5806
2024-04-02T13:53:22.970,0.5792
2024-04-02T13:58:33.083,0.5825
2024-04-02T14:05:32.836,0.5828
2024-04-02T14:10:00.173,0.5843
2024-04-02T14:14:12.851,0.5857
2024-04-02T14:17:02.383,0.586
2024-04-02T14:20:53.846,0.5866
2024-04-02T14:25:28.721,0.5866
2024-04-02T14:29:29.747,0.5888
2024-04-02T14:31:31.081,0.5901
2024-04-02T14:34:03.484,0.5901
2024-04-02T14:35:45.680,0.5898
2024-04-02T14:36:46.377,0.59
2024-04-02T14:40:10.870,0.5883
2024-04-02T14:43:11.227,0.5905
2024-04-02T14:45:09.710,0.5908
2024-04-02T14:47:14.560,0.5886
2024-04-02T14:49:27.380,0.5881
2024-04-02T14:51:04.526,0.587
2024-04-02T14:54:21.806,0.588
2024-04-02T14:56:17.205,0.5869
2024-04-02T14:59:10.778,0.5868
2024-04-02T15:02:59.043,0.5889
2024-04-02T15:06:06.620,0.5891
2024-04-02T15:09:08.985,0.5915
2024-04-02T15:12:48.599,0.5921
2024-04-02T15:16:48.574,0.5909
2024-04-02T15:20:54.392,0.588
2024-04-02T15:26:36.617,0.5887
2024-04-02T15:33:36.289,0.5881
2024-04-02T15:39:32.630,0.5871
2024-04-02T15:40:08.693,0.5857
2024-04-02T15:42:54.904,0.5865
2024-04-02T15:46:55.275,0.5848
2024-04-02T15:49:47.439,0.5829
2024-04-02T15:53:34.443,0.5812
2024-04-02T15:54:37.740,0.5796
2024-04-02T15:56:54.863,0.5814
2024-04-02T15:57:00.207,0.5824
2024-04-02T15:57:37.469,0.5804
2024-04-02T15:58:55.394,0.5804
2024-04-02T16:00:33.948,0.5793
2024-04-02T16:02:40.560,0.581
2024-04-02T16:04:28.766,0.5776
